x,NC,CS,OC
37.8,12.8332,6.6247,-2.2724
37.9,12.838,6.6275,-2.2755
38,12.8427,6.6303,-2.2785
38.1,12.8474,6.6331,-2.2815
38.2,12.852,6.6359,-2.2844
38.3,12.8567,6.6387,-2.2874
38.4,12.8613,6.6415,-2.2903
38.5,12.8658,6.6443,-2.2931
38.6,12.8703,6.6471,-2.296
38.7,12.8748,6.6498,-2.2988
38.8,12.8792,6.6526,-2.3016
38.9,12.8837,6.6553,-2.3043
39,12.888,6.6581,-2.307
39.1,12.8924,6.6608,-2.3096
39.2,12.8967,6.6635,-2.3123
39.3,12.901,6.6662,-2.3149
39.4,12.9052,6.6688,-2.3174
39.5,12.9094,6.6715,-2.3199
39.6,12.9136,6.6741,-2.3224
39.7,12.9177,6.6768,-2.3248
39.8,12.9218,6.6793,-2.3272
39.9,12.9259,6.6819,-2.3296
40,12.93,6.6845,-2.3319
40.1,12.934,6.687,-2.3342
40.2,12.9379,6.6895,-2.3364
40.3,12.9419,6.692,-2.3386
40.4,12.9458,6.6945,-2.3408
40.5,12.9496,6.6969,-2.3429
40.6,12.9534,6.6993,-2.3449
40.7,12.9572,6.7017,-2.347
40.8,12.961,6.704,-2.349
40.9,12.9647,6.7063,-2.3509
41,12.9684,6.7086,-2.3528
41.1,12.972,6.7109,-2.3547
41.2,12.9756,6.7131,-2.3565
41.3,12.9792,6.7153,-2.3583
41.4,12.9828,6.7174,-2.3601
41.5,12.9862,6.7196,-2.3618
41.6,12.9897,6.7217,-2.3635
41.7,12.9931,6.7237,-2.3652
41.8,12.9965,6.7258,-2.3668
41.9,12.9998,6.7278,-2.3684
42,13.0031,6.7297,-2.37
42.1,13.0064,6.7317,-2.3715
42.2,13.0096,6.7336,-2.373
42.3,13.0128,6.7354,-2.3745
42.4,13.0159,6.7372,-2.3759
42.5,13.019,6.739,-2.3773
42.6,13.022,6.7408,-2.3786
42.7,13.025,6.7425,-2.38
42.8,13.028,6.7442,-2.3813
42.9,13.0309,6.7458,-2.3826
43,13.0338,6.7475,-2.3838
43.1,13.0366,6.749,-2.385
