x,OC,CS,NC
4.2,342.99,650.68,693.63
4.21,343.58,650.68,693.39
4.22,344.17,650.67,693.15
4.23,344.76,650.67,692.92
4.24,345.36,650.67,692.69
4.25,345.97,650.66,692.46
4.26,346.58,650.66,692.23
4.27,347.19,650.66,692
4.28,347.82,650.66,691.77
4.29,348.44,650.65,691.55
4.3,349.08,650.65,691.33
4.31,349.71,650.65,691.11
4.32,350.36,650.64,690.89
4.33,351,650.64,690.67
4.34,351.66,650.64,690.46
4.35,352.31,650.63,690.25
4.36,352.97,650.63,690.04
4.37,353.64,650.63,689.83
4.38,354.31,650.62,689.62
4.39,354.99,650.62,689.42
4.4,355.67,650.62,689.22
4.41,356.36,650.62,689.01
4.42,357.05,650.61,688.81
4.43,357.74,650.61,688.62
4.44,358.44,650.61,688.42
4.45,359.14,650.6,688.23
4.46,359.85,650.6,688.04
4.47,360.56,650.6,687.84
4.48,361.28,650.59,687.66
4.49,361.99,650.59,687.47
4.5,362.72,650.59,687.28
4.51,363.44,650.58,687.1
4.52,364.17,650.58,686.92
4.53,364.91,650.58,686.74
4.54,365.65,650.58,686.56
4.55,366.39,650.57,686.38
4.56,367.13,650.57,686.2
4.57,367.88,650.57,686.03
4.58,368.63,650.56,685.86
4.59,369.38,650.56,685.69
4.6,370.13,650.56,685.52
4.61,370.89,650.55,685.35
4.62,371.65,650.55,685.18
4.63,372.42,650.55,685.02
4.64,373.18,650.54,684.85
4.65,373.95,650.54,684.69
4.66,374.72,650.54,684.53
4.67,375.49,650.54,684.37
4.68,376.26,650.53,684.21
4.69,377.04,650.53,684.06
4.7,377.82,650.53,683.9
4.71,378.6,650.52,683.75
4.72,379.38,650.52,683.6
4.73,380.16,650.52,683.45
4.74,380.94,650.51,683.3
4.75,381.73,650.51,683.15
4.76,382.52,650.51,683
4.77,383.31,650.5,682.85
4.78,384.1,650.5,682.71
4.79,384.89,650.5,682.56
4.8,385.68,650.5,682.42
4.81,386.47,650.49,682.28
4.82,387.26,650.49,682.14
4.83,388.06,650.49,682
4.84,388.86,650.48,681.86
4.85,389.65,650.48,681.73
4.86,390.45,650.48,681.59
4.87,391.25,650.47,681.46
4.88,392.05,650.47,681.32
4.89,392.84,650.47,681.19
4.9,393.64,650.46,681.06
4.91,394.44,650.46,680.93
4.92,395.25,650.46,680.8
4.93,396.05,650.46,680.67
4.94,396.85,650.45,680.54
4.95,397.65,650.45,680.41
4.96,398.45,650.45,680.29
4.97,399.25,650.44,680.16
4.98,400.06,650.44,680.04
4.99,400.86,650.44,679.91
5,401.66,650.43,679.79
5.01,402.46,650.43,679.67
5.02,403.26,650.43,679.55
5.03,404.07,650.42,679.43
5.04,404.87,650.42,679.31
5.05,405.67,650.42,679.19
5.06,406.47,650.42,679.07
5.07,407.27,650.41,678.95
5.08,408.07,650.41,678.84
5.09,408.87,650.41,678.72
5.1,409.67,650.4,678.6
5.11,410.47,650.4,678.49
5.12,411.27,650.4,678.38
5.13,412.07,650.39,678.26
5.14,412.86,650.39,678.15
5.15,413.66,650.39,678.04
5.16,414.45,650.38,677.93
5.17,415.25,650.38,677.81
5.18,416.04,650.38,677.7
5.19,416.84,650.38,677.59
5.2,417.63,650.37,677.48
5.21,418.42,650.37,677.38
5.22,419.21,650.37,677.27
5.23,420,650.36,677.16
5.24,420.79,650.36,677.05
5.25,421.58,650.36,676.95
5.26,422.36,650.35,676.84
5.27,423.15,650.35,676.73
5.28,423.93,650.35,676.63
5.29,424.71,650.34,676.52
5.3,425.49,650.34,676.42
5.31,426.27,650.34,676.32
5.32,427.05,650.33,676.21
5.33,427.83,650.33,676.11
5.34,428.6,650.33,676.01
5.35,429.38,650.33,675.9
5.36,430.15,650.32,675.8
5.37,430.92,650.32,675.7
5.38,431.69,650.32,675.6
5.39,432.45,650.31,675.5
5.4,433.22,650.31,675.4
5.41,433.98,650.31,675.3
5.42,434.74,650.3,675.2
5.43,435.5,650.3,675.1
5.44,436.26,650.3,675
5.45,437.02,650.29,674.9
5.46,437.77,650.29,674.8
5.47,438.52,650.29,674.7
5.48,439.27,650.29,674.61
5.49,440.02,650.28,674.51
5.5,440.77,650.28,674.41
5.51,441.51,650.28,674.32
5.52,442.26,650.27,674.22
5.53,443,650.27,674.12
5.54,443.74,650.27,674.03
5.55,444.48,650.26,673.93
5.56,445.21,650.26,673.84
5.57,445.95,650.26,673.74
5.58,446.68,650.25,673.65
5.59,447.41,650.25,673.55
5.6,448.14,650.25,673.46
5.61,448.86,650.25,673.36
5.62,449.59,650.24,673.27
5.63,450.31,650.24,673.17
5.64,451.04,650.24,673.08
5.65,451.76,650.23,672.99
5.66,452.48,650.23,672.89
5.67,453.19,650.23,672.8
5.68,453.91,650.22,672.71
5.69,454.62,650.22,672.62
5.7,455.33,650.22,672.52
5.71,456.05,650.21,672.43
5.72,456.75,650.21,672.34
5.73,457.46,650.21,672.25
5.74,458.17,650.21,672.16
5.75,458.87,650.2,672.07
5.76,459.57,650.2,671.97
5.77,460.27,650.2,671.88
5.78,460.97,650.19,671.79
