x,OC,CS,NC
4.56,495.059,478.384,473.636
4.57,495.273,478.422,473.703
4.58,495.486,478.46,473.77
4.59,495.697,478.498,473.836
4.6,495.906,478.535,473.902
4.61,496.114,478.573,473.967
4.62,496.32,478.61,474.033
4.63,496.523,478.647,474.097
4.64,496.725,478.685,474.162
4.65,496.926,478.722,474.226
4.66,497.124,478.758,474.29
4.67,497.32,478.795,474.353
4.68,497.514,478.832,474.416
4.69,497.707,478.868,474.479
4.7,497.897,478.905,474.542
4.71,498.085,478.941,474.604
4.72,498.271,478.977,474.666
4.73,498.455,479.013,474.727
4.74,498.637,479.049,474.788
4.75,498.817,479.084,474.849
4.76,498.994,479.12,474.91
4.77,499.17,479.155,474.97
4.78,499.343,479.191,475.03
4.79,499.514,479.226,475.089
4.8,499.682,479.261,475.148
4.81,499.849,479.296,475.207
4.82,500.013,479.331,475.265
4.83,500.175,479.365,475.324
4.84,500.335,479.4,475.382
4.85,500.492,479.434,475.439
4.86,500.647,479.469,475.496
4.87,500.8,479.503,475.553
4.88,500.95,479.537,475.61
4.89,501.098,479.571,475.666
4.9,501.244,479.604,475.722
4.91,501.387,479.638,475.778
4.92,501.529,479.672,475.833
4.93,501.667,479.705,475.888
4.94,501.804,479.738,475.942
4.95,501.938,479.771,475.997
4.96,502.07,479.804,476.051
4.97,502.199,479.837,476.105
4.98,502.326,479.87,476.158
4.99,502.451,479.903,476.211
5,502.574,479.935,476.264
5.01,502.694,479.968,476.316
5.02,502.812,480,476.369
5.03,502.927,480.032,476.42
5.04,503.041,480.064,476.472
5.05,503.152,480.096,476.523
5.06,503.26,480.128,476.574
5.07,503.367,480.159,476.625
5.08,503.471,480.191,476.675
5.09,503.573,480.222,476.725
5.1,503.673,480.254,476.775
5.11,503.771,480.285,476.824
5.12,503.866,480.316,476.873
5.13,503.959,480.347,476.922
5.14,504.051,480.377,476.971
5.15,504.14,480.408,477.019
5.16,504.226,480.439,477.067
5.17,504.311,480.469,477.114
5.18,504.394,480.499,477.162
5.19,504.474,480.529,477.209
5.2,504.553,480.559,477.255
5.21,504.629,480.589,477.302
5.22,504.703,480.619,477.348
5.23,504.776,480.649,477.394
5.24,504.846,480.678,477.439
5.25,504.914,480.708,477.484
5.26,504.981,480.737,477.529
5.27,505.045,480.766,477.574
5.28,505.108,480.795,477.618
5.29,505.168,480.824,477.662
5.3,505.227,480.853,477.706
5.31,505.284,480.882,477.749
5.32,505.339,480.91,477.793
5.33,505.392,480.939,477.835
5.34,505.443,480.967,477.878
5.35,505.493,480.995,477.92
5.36,505.54,481.023,477.962
5.37,505.586,481.051,478.004
5.38,505.63,481.079,478.046
5.39,505.673,481.107,478.087
5.4,505.714,481.134,478.128
5.41,505.753,481.162,478.168
5.42,505.79,481.189,478.208
5.43,505.826,481.216,478.248
5.44,505.86,481.243,478.288
5.45,505.892,481.27,478.328
5.46,505.923,481.297,478.367
5.47,505.952,481.324,478.406
5.48,505.98,481.35,478.444
5.49,506.006,481.377,478.483
5.5,506.031,481.403,478.521
5.51,506.054,481.43,478.558
5.52,506.075,481.456,478.596
5.53,506.095,481.482,478.633
5.54,506.114,481.507,478.67
5.55,506.131,481.533,478.707
5.56,506.147,481.559,478.743
5.57,506.161,481.584,478.779
5.58,506.174,481.61,478.815
5.59,506.186,481.635,478.85
5.6,506.196,481.66,478.886
5.61,506.205,481.685,478.921
5.62,506.213,481.71,478.955
5.63,506.219,481.734,478.99
5.64,506.224,481.759,479.024
5.65,506.227,481.784,479.058
5.66,506.23,481.808,479.091
5.67,506.231,481.832,479.125
5.68,506.231,481.856,479.158
5.69,506.229,481.88,479.191
5.7,506.227,481.904,479.223
5.71,506.223,481.928,479.256
5.72,506.218,481.951,479.288
5.73,506.212,481.975,479.32
5.74,506.204,481.998,479.351
5.75,506.196,482.022,479.383
5.76,506.187,482.045,479.414
5.77,506.176,482.068,479.445
5.78,506.164,482.09,479.475
5.79,506.152,482.113,479.506
5.8,506.138,482.136,479.536
5.81,506.124,482.158,479.566
5.82,506.108,482.181,479.596
5.83,506.092,482.203,479.625
5.84,506.074,482.225,479.655
5.85,506.056,482.247,479.684
5.86,506.037,482.269,479.713
5.87,506.017,482.291,479.741
5.88,505.996,482.312,479.77
5.89,505.975,482.334,479.798
5.9,505.952,482.355,479.826
5.91,505.929,482.376,479.854
5.92,505.905,482.397,479.882
5.93,505.88,482.418,479.909
5.94,505.855,482.439,479.937
5.95,505.828,482.46,479.964
5.96,505.801,482.48,479.991
5.97,505.774,482.501,480.017
5.98,505.745,482.521,480.044
5.99,505.716,482.541,480.07
6,505.686,482.561,480.096
6.01,505.656,482.581,480.122
6.02,505.625,482.601,480.148
6.03,505.593,482.621,480.174
6.04,505.561,482.64,480.199
6.05,505.528,482.659,480.224
6.06,505.495,482.679,480.249
6.07,505.461,482.698,480.274
6.08,505.426,482.717,480.299
6.09,505.391,482.736,480.323
6.1,505.355,482.754,480.348
6.11,505.318,482.773,480.372
6.12,505.282,482.792,480.396
6.13,505.244,482.81,480.42
6.14,505.206,482.828,480.444
6.15,505.168,482.846,480.467
6.16,505.129,482.864,480.491
6.17,505.089,482.882,480.514
6.18,505.05,482.9,480.537
6.19,505.009,482.917,480.56
6.2,504.968,482.934,480.583
6.21,504.927,482.952,480.605
6.22,504.885,482.969,480.628
6.23,504.843,482.986,480.65
6.24,504.8,483.003,480.672
6.25,504.757,483.019,480.694
6.26,504.714,483.036,480.716
6.27,504.67,483.053,480.738
6.28,504.626,483.069,480.76
6.29,504.581,483.085,480.781
6.3,504.536,483.101,480.803
6.31,504.491,483.117,480.824
6.32,504.445,483.133,480.845
6.33,504.399,483.148,480.866
6.34,504.352,483.164,480.886
6.35,504.305,483.179,480.907
6.36,504.258,483.195,480.928
6.37,504.21,483.21,480.948
6.38,504.162,483.225,480.968
6.39,504.114,483.239,480.988
6.4,504.066,483.254,481.008
6.41,504.017,483.269,481.028
6.42,503.967,483.283,481.048
6.43,503.918,483.298,481.068
6.44,503.868,483.312,481.087
6.45,503.818,483.326,481.107
6.46,503.768,483.34,481.126
6.47,503.717,483.353,481.145
6.48,503.666,483.367,481.164
6.49,503.615,483.381,481.183
6.5,503.563,483.394,481.202
6.51,503.511,483.407,481.22
6.52,503.459,483.421,481.239
6.53,503.407,483.434,481.257
6.54,503.355,483.446,481.276
6.55,503.302,483.459,481.294
6.56,503.249,483.472,481.312
6.57,503.196,483.484,481.33
6.58,503.142,483.497,481.348
6.59,503.089,483.509,481.366
6.6,503.035,483.521,481.384
6.61,502.981,483.533,481.401
6.62,502.926,483.545,481.419
6.63,502.872,483.557,481.436
6.64,502.817,483.569,481.454
6.65,502.762,483.58,481.471
6.66,502.707,483.591,481.488
6.67,502.652,483.603,481.505
6.68,502.597,483.614,481.522
6.69,502.541,483.625,481.539
6.7,502.485,483.636,481.556
6.71,502.429,483.647,481.572
6.72,502.373,483.657,481.589
6.73,502.317,483.668,481.605
6.74,502.261,483.678,481.622
6.75,502.204,483.689,481.638
6.76,502.147,483.699,481.655
6.77,502.091,483.709,481.671
6.78,502.034,483.719,481.687
6.79,501.977,483.729,481.703
6.8,501.919,483.739,481.719
6.81,501.862,483.748,481.735
6.82,501.805,483.758,481.751
6.83,501.747,483.767,481.767
6.84,501.689,483.776,481.783
6.85,501.632,483.786,481.798
6.86,501.574,483.795,481.814
6.87,501.516,483.804,481.83
6.88,501.458,483.813,481.845
6.89,501.4,483.821,481.861
